"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV4018","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","plebeius"
"ASV4019","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","massiliensis"
"ASV4020","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",NA
"ASV4021","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA
"ASV4022","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"ASV4023","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV4024","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4025","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV4026","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASV4027","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina",NA
"ASV4028","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4029","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV4030","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group",NA
"ASV4031","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV4032","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4033","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4034","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV4035","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4036","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter",NA
"ASV4037","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","piger"
"ASV4038","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",NA
"ASV4039","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV4040","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASV4041","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium","bifermentans"
"ASV4042","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
"ASV4043","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",NA
"ASV4044","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV4045","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus",NA
"ASV4046","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira",NA
"ASV4047","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas",NA
"ASV4048","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA
"ASV4049","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","obeum"
"ASV4050","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","stercorea"
"ASV4051","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Haemophilus","pittmaniae"
"ASV4052","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4053","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4054","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV4055","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group",NA
"ASV4056","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV4057","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
"ASV4058","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] hallii group","hallii"
"ASV4059","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV4060","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV4061","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV4062","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV4063","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV4064","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASV4065","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4066","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV4067","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Candidatus Soleaferrea",NA
"ASV4068","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group","siraeum"
"ASV4069","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"ASV4070","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4071","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","coprocola"
"ASV4072","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV4073","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASV4074","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV4075","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASV4076","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASV4077","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV4078","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas",NA
"ASV4079","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","stercorea"
"ASV4080","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-003",NA
"ASV4081","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","clara"
"ASV4082","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
"ASV4083","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Clostridium] methylpentosum group",NA,NA
"ASV4084","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASV4085","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Bacteroides] pectinophilus group",NA
"ASV4086","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4087","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","elsdenii"
"ASV4088","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"ASV4089","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","thermophilus"
"ASV4090","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","hadrus"
"ASV4091","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","ilealis"
"ASV4092","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV4093","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4094","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] hallii group","hallii"
"ASV4095","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Fournierella",NA
"ASV4096","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV4097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV4098","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,NA
"ASV4099","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,NA
"ASV4100","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4101","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV4102","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","elsdenii"
"ASV4103","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV4104","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASV4105","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV4106","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","gordonii"
"ASV4107","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV4108","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV4109","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"ASV4110","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV4111","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV4112","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV4113","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4114","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","coli"
"ASV4115","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA
"ASV4116","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV4117","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae",NA,NA
"ASV4118","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4119","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","perfringens"
"ASV4120","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA
"ASV4121","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"ASV4122","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV4123","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4124","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4125","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV4126","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA
"ASV4127","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASV4128","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV4129","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"ASV4130","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","salivarius"
"ASV4131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASV4132","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","[Clostridium] innocuum group",NA
"ASV4133","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV4134","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"ASV4135","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","pectinilyticus"
"ASV4136","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"ASV4137","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","freundii"
"ASV4138","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA
"ASV4139","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASV4140","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group","torques"
"ASV4141","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV4142","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV4143","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV4144","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56",NA
"ASV4145","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","obeum"
"ASV4146","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","clarus"
"ASV4147","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","stercorea"
"ASV4148","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","eutactus"
"ASV4149","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV4150","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV4151","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4152","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group",NA
"ASV4153","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASV4154","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV4155","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4156","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","DNF00809",NA
"ASV4157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"ASV4158","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","planticola"
"ASV4159","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56",NA
"ASV4160","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"ASV4161","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","salivarius"
"ASV4162","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia",NA
"ASV4163","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV4164","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group",NA
"ASV4165","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"ASV4166","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","mitsuokai"
"ASV4167","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV4168","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV4169","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","flavefaciens"
"ASV4170","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV4171","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4172","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4173","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"ASV4174","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"ASV4175","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV4176","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor",NA
"ASV4177","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV4178","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV4179","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"ASV4180","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","massiliensis"
"ASV4181","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",NA
"ASV4182","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella",NA
"ASV4183","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV4184","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV4185","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV4186","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","elsdenii"
"ASV4187","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] eligens group",NA
"ASV4188","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV4189","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4190","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV4191","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA,NA
"ASV4192","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,NA
"ASV4193","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella",NA
"ASV4194","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","smithii"
"ASV4195","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4196","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","perfringens"
"ASV4197","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia",NA
"ASV4198","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV4199","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV4200","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"ASV4201","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4202","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV4203","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV4204","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA
"ASV4205","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA
"ASV4206","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASV4207","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV4208","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4209","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,NA
"ASV4210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV4211","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV4212","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"ASV4213","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV4214","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","massiliensis"
"ASV4215","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7",NA
"ASV4216","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4217","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] hallii group",NA
"ASV4218","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"ASV4219","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"ASV4220","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV4221","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV4222","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV4223","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV4224","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV4225","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4226","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4227","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV4228","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales",NA,NA,NA
"ASV4229","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","limosum"
"ASV4230","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA
"ASV4231","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Howardella",NA
"ASV4232","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter",NA
"ASV4233","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV4234","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV4235","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","vadensis"
"ASV4236","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens"
"ASV4237","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","plebeius"
"ASV4238","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","piger"
"ASV4239","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","anaerobius"
"ASV4240","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV4241","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","bicirculans"
"ASV4242","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"ASV4243","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASV4244","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium",NA
"ASV4245","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"ASV4246","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae",NA,NA
"ASV4247","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",NA
"ASV4248","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",NA
"ASV4249","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,NA
"ASV4250","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","piger"
"ASV4251","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA
"ASV4252","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV4253","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Pygmaiobacter",NA
"ASV4254","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group","lactaris"
"ASV4255","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,NA
"ASV4256","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"ASV4257","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV4258","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","bartlettii"
"ASV4259","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA
"ASV4260","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV4261","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,NA
